SK_ID_CURR,TARGET_PROB,TARGET
215138,0.51839036,1
325963,0.68360656,1
206923,0.43045247,0
265855,0.45904988,0
359795,0.3376829,0
395230,0.5879904,1
230166,0.3906681,0
286568,0.79943997,1
236576,0.5949224,1
204357,0.16112716,0
378338,0.15262906,0
429599,0.38553137,0
385538,0.30227578,0
204899,0.7047148,1
168679,0.6363335,1
281751,0.4315621,0
292091,0.3319775,0
348686,0.3980034,0
104935,0.14677277,0
421130,0.22996752,0
235975,0.50766426,1
328391,0.8505658,1
431335,0.29402578,0
170201,0.3072148,0
318905,0.65868926,1
209955,0.6102489,1
406338,0.75683904,1
315953,0.848822,1
132589,0.23015393,0
187515,0.3612324,0
361061,0.51286834,1
218717,0.46788472,0
199044,0.46003553,0
431122,0.4201348,0
221899,0.28607658,0
339086,0.75030565,1
349758,0.65511984,1
279881,0.2796193,0
434900,0.65013343,1
450416,0.6743579,1
107039,0.1853299,0
200381,0.113949366,0
392644,0.5555959,1
143305,0.23792972,0
397621,0.50136244,1
162757,0.14195211,0
186958,0.25816143,0
422504,0.35827458,0
352400,0.29189724,0
414413,0.6238709,1
346612,0.08390085,0
282392,0.5643732,1
446439,0.36372188,0
229321,0.3496544,0
196081,0.1968609,0
372845,0.30567658,0
125179,0.27817684,0
257465,0.54029083,1
310780,0.40830883,0
448710,0.2543703,0
285380,0.34195718,0
224842,0.2844156,0
144406,0.40148467,0
266757,0.06842057,0
233609,0.54864544,1
380445,0.4418683,0
203379,0.7351878,1
330847,0.75310886,1
156356,0.8032613,1
345352,0.41692838,0
419554,0.37236404,0
220362,0.6486875,1
328453,0.46241456,0
449410,0.3953394,0
112653,0.22715625,0
432155,0.4704614,0
389297,0.575027,1
435078,0.24435812,0
227733,0.4652697,0
332719,0.21285339,0
306143,0.806042,1
236093,0.769083,1
102577,0.16455013,0
216798,0.60566103,1
190469,0.28776702,0
127696,0.22859016,0
160803,0.3867286,0
410475,0.43022263,0
422952,0.49234214,1
135028,0.17529298,0
155830,0.65651023,1
447392,0.5547006,1
278419,0.34074643,0
361842,0.09437495,0
106709,0.5845156,1
388583,0.069975875,0
301773,0.66495806,1
193702,0.18563575,0
333786,0.2303881,0
335120,0.6048817,1
448815,0.25570652,0
359879,0.31344962,0
320858,0.0769879,0
198077,0.16862212,0
154503,0.3306014,0
245136,0.2835944,0
145955,0.579916,1
336384,0.52371556,1
445251,0.49552348,1
150736,0.47005394,0
433303,0.64524764,1
357407,0.30130798,0
191522,0.3516016,0
443580,0.6970643,1
321301,0.4651632,0
194426,0.58990973,1
338837,0.28046948,0
286022,0.26284412,0
439953,0.16864811,0
127428,0.6393932,1
297232,0.5350118,1
259489,0.63031495,1
106351,0.32235324,0
351092,0.4992552,1
288872,0.17967239,0
130816,0.44765308,0
194435,0.22231266,0
351179,0.18721531,0
351500,0.64849424,1
441851,0.16384688,0
121285,0.68510616,1
197214,0.7013669,1
184059,0.26576313,0
451269,0.5032705,1
208432,0.199691,0
409439,0.32865813,0
230474,0.4581333,0
218543,0.5728952,1
452407,0.8298947,1
321863,0.514694,1
446066,0.42292562,0
171206,0.21384838,0
304478,0.321437,0
344092,0.65780985,1
260773,0.79589945,1
400942,0.1986536,0
271350,0.31795093,0
323037,0.34461865,0
361664,0.2754807,0
268686,0.2797369,0
154352,0.10352849,0
144620,0.8048826,1
384507,0.75649333,1
327013,0.19456787,0
245900,0.5266863,1
425144,0.5904186,1
245079,0.4444882,0
174197,0.44447044,0
162524,0.45113596,0
442225,0.626687,1
143697,0.47058633,0
420034,0.26598084,0
372114,0.30211306,0
152727,0.44673592,0
250629,0.12123502,0
135923,0.39925015,0
381518,0.2561765,0
372056,0.75284356,1
420488,0.5098529,1
169409,0.33022535,0
185251,0.35919866,0
312947,0.46454835,0
133211,0.67765784,1
149181,0.48041692,0
167289,0.57257646,1
274779,0.2885496,0
325190,0.8229697,1
231876,0.75363994,1
450245,0.4291241,0
404203,0.5162606,1
412034,0.37068722,0
268928,0.42253268,0
159668,0.5520985,1
131553,0.3974009,0
119741,0.14433292,0
272426,0.72805274,1
194922,0.6318428,1
430490,0.65100086,1
305292,0.76522225,1
424018,0.37534237,0
256489,0.37314218,0
395841,0.2679326,0
401267,0.5912387,1
143083,0.42560095,0
259134,0.61463803,1
235311,0.40867513,0
354074,0.5932581,1
205917,0.27915284,0
332693,0.15343797,0
323586,0.17144573,0
139369,0.38661155,0
141491,0.12581713,0
190007,0.72953516,1
129463,0.6070733,1
379835,0.18608674,0
426995,0.8088516,1
219155,0.12797993,0
365731,0.2547205,0
287077,0.33412936,0
405577,0.24045187,0
154833,0.6681707,1
289954,0.31826785,0
274598,0.1764069,0
447234,0.4388123,0
188325,0.41704023,0
228587,0.48257282,0
146047,0.5472305,1
320437,0.71568495,1
346859,0.53452075,1
435693,0.30209175,0
343328,0.35140416,0
260982,0.39347813,0
383619,0.35601133,0
280783,0.4170321,0
284007,0.51152676,1
297243,0.46931928,0
319794,0.37991533,0
424154,0.20930287,0
206470,0.6500864,1
441068,0.48785725,1
172532,0.49823213,1
330410,0.6512668,1
392187,0.3121056,0
113713,0.33133152,0
205630,0.63488066,1
447701,0.43375257,0
360212,0.300232,0
343322,0.32494247,0
121311,0.4010298,0
397351,0.7787806,1
219468,0.27009752,0
280592,0.360932,0
384134,0.26182574,0
338416,0.89284015,1
221366,0.19146895,0
284995,0.30005106,0
153155,0.3802586,0
419999,0.5703915,1
236013,0.8037338,1
411917,0.3238847,0
316825,0.11991107,0
273350,0.13447104,0
454227,0.6456131,1
242306,0.3282688,0
335985,0.31535327,0
192962,0.69181794,1
317248,0.37002105,0
283093,0.5280754,1
255715,0.42619982,0
432041,0.36280447,0
257229,0.6453513,1
305443,0.15282404,0
267353,0.291168,0
281630,0.2194471,0
358367,0.47028315,0
245276,0.54587847,1
283285,0.17424588,0
356590,0.1356594,0
166066,0.39284846,0
422091,0.64959365,1
323128,0.8156727,1
